Date,TICKER,Close_Price_Raw,Volume_Raw,PERMNO,SIC_Code
2017-08-16,AMT,114.9154205,1334600,82332,6798
2017-08-16,IBM,95.1292038,3439039,12490,7373
2017-08-16,WELL,53.64853287,1661400,61293,6798
2017-08-17,AMT,113.7425766,956300,82332,6798
2017-08-17,AIV,2.702301264,6567933,78442,6798
2017-08-17,QCOM,41.63452911,6589400,77178,3674
2017-08-17,IBM,93.9275589,4625517,12490,7373
2017-08-17,NVDA,3.98574543,525444000,86580,3674
2017-08-17,AMZN,48.0284996,70248000,84788,5961
2017-08-17,WELL,52.97791672,1368500,61293,6798
2017-08-18,NVDA,3.986484051,601204000,86580,3674
2017-08-18,WELL,52.64262009,1403700,61293,6798
2017-08-18,IBM,93.25999451,4343724,12490,7373
2017-08-18,AMT,114.0276871,1114300,82332,6798
2017-08-18,AMZN,47.92350006,65696000,84788,5961
2017-08-18,QCOM,41.35574341,6696400,77178,3674
2017-08-18,AIV,2.686828852,6806466,78442,6798
2017-08-21,NVDA,3.928477287,623672000,86580,3674
2017-08-21,QCOM,41.40353775,5205700,77178,3674
2017-08-21,WELL,53.63362503,1378000,61293,6798
2017-08-21,IBM,93.68058014,3337472,12490,7373
2017-08-21,AMZN,47.66450119,63290000,84788,5961
2017-08-21,AMT,115.0702209,1545900,82332,6798
2017-08-21,AIV,2.702896357,7825111,78442,6798
2017-08-22,AMT,115.7299652,1030300,82332,6798
2017-08-22,AIV,2.700516224,6068362,78442,6798
2017-08-22,AMZN,48.34500122,55000000,84788,5961
2017-08-22,NVDA,4.015935898,450456000,86580,3674
2017-08-22,IBM,94.13448334,2661442,12490,7373
2017-08-22,QCOM,41.69825363,4443300,77178,3674
2017-08-22,WELL,52.85126114,1176700,61293,6798
2017-08-23,WELL,53.33558273,930200,61293,6798
2017-08-23,AMT,116.3408051,921600,82332,6798
2017-08-23,IBM,94.88885498,4234522,12490,7373
2017-08-23,AMZN,47.90000153,53366000,84788,5961
